.Name,.Symbol,AverageDailyVolume,BookValue,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,MarketCapitalization,OneyrTargetChange,PEGRatio,PERatio,PercentChangeAfterHours,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearHigh,PercentChangeFromYearLow,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume
Hartford Financial Services Gro,HIG,2506800,45.21,1.90,1540000000.0,4.12,0.94,4.51,2.27,48.15,18080000000.0,0.08374485596707815,1.25,21.30,-0.0030864197530864335,0.0043,0.081,-0.026600000000000002,0.2425,1.08,11.74,10.72,0.99,1.80,1,44.73,3492766
"Harley-Davidson, Inc. Common St",HOG,2026530,10.87,2.56,1260000000.0,3.86,1.60,4.25,3.83,58.21,10050000000.0,0.015420063807160433,1.57,14.86,-0.0001772421127260726,-0.022000000000000002,0.0217,-0.08689999999999999,0.45640000000000003,5.19,14.75,13.40,1.66,7.67,1,55.72,1068019
"Hologic, Inc.",HOLX,2505610,8.02,0,1040000000.0,1.92,0.47,2.10,1.17,39.89,11170000000.0,0.11775000000000002,2.39,34.19,0,0.0026,0.0298,-0.0301,0.2255,4.99,20.83,19.05,3.89,2.46,0,38.84,0
Honeywell International Inc. Co,HON,3210780,25.46,2.14,7710000000.0,7.04,1.75,7.66,6.20,117.98,94810000000.0,0.05951997422680422,2.54,20.09,-0.0019329896907216426,0.0558,0.0849,0.0,0.2302,4.88,17.69,16.26,2.40,0.98,1,114.82,2718803
Hewlett Packard Enterprise Comp,HPE,10182500,18.87,0.98,7830000000.0,2.04,0.47,2.06,1.82,23.21,40620000000.0,0.01931771475544597,10.14,13.41,-0.0032881216605014085,0.0513,0.0733,-0.015700000000000002,0.9033,1.29,11.96,11.84,0.81,2.95,1,22.73,7583435
Hormel Foods Corporation Common,HRL,2571630,8.42,1.83,1420000000.0,1.71,0.41,1.76,1.64,36.23,19700000000.0,0.06629092860976926,2.80,22.72,0,0.0286,0.019799999999999998,-0.16699999999999998,0.12300000000000001,4.43,21.79,21.17,2.07,10.36,1,36.53,0
Harris Corporation Common Stock,HRS,703800,25.40,1.94,1580000000.0,5.55,1.59,6.13,5.28,103.43,13620000000.0,0.0697971861867348,0.47,20.72,0,0.0583,0.1232,-0.0001,0.4929,4.31,19.72,17.86,1.84,1.89,1,97.46,200
"Henry Schein, Inc.",HSIC,644210,35.90,0,966570000.0,6.58,1.60,7.25,6.02,160.20,13530000000.0,0.02648729446935727,2.27,27.92,-0.0020926756352764864,0.0493,0.06,-0.0814,0.1496,4.66,25.55,23.19,1.19,7.44,0,158.60,900761
"Host Hotels & Resorts, Inc.",HST,10016200,9.61,5.44,1430000000.0,0.99,0.14,0.69,1.06,18.34,13610000000.0,0.0010875475802065715,-0.67,17.37,0,0.0026,0.061900000000000004,-0.0574,0.28600000000000003,1.91,18.58,26.65,2.49,7.26,1,17.32,0
The Hershey Company,HSY,1071210,3.89,2.30,1650000000.0,4.79,0.92,5.12,3.34,105.86,22830000000.0,0.0003715745471435383,2.49,32.11,-0.007617278216442203,0.0131,0.0513,-0.0895,0.21989999999999998,27.68,22.39,20.95,3.08,3.41,1,102.02,1749503
Humana Inc.,HUM,1698000,71.57,0.78,2310000000.0,10.94,2.78,11.89,4.07,202.11,30550000000.0,0.09095796676441847,1.39,50.27,0,0.0123,0.0816,-0.060599999999999994,0.364,2.86,18.70,17.21,0.56,0.64,1,189.16,0
International Business Machines,IBM,3615660,19.24,3.10,17490000000.0,13.79,3.17,14.16,12.38,173.38,170410000000.0,-0.08368849283223545,5.12,14.51,-0.00038744672607515795,0.0361,0.105,-0.0172,0.38530000000000003,9.39,13.03,12.69,2.14,5.01,1,162.58,296780
Intercontinental Exchange Inc.,ICE,2768580,26.42,1.37,2750000000.0,3.01,0.74,3.40,2.37,57.67,6720000000.0,0.09838022165387894,1.54,24.64,-0.002046035805626567,0.0126,0.04190000000000001,-0.0353,0.2851,2.22,19.40,17.18,1.50,2.05,1,56.05,2962911
Internationa Flavors & Fragranc,IFF,656337,21.31,2.09,701740000.0,5.82,1.53,6.41,5.03,117.92,9720000000.0,0.05942110779650078,2.56,24.35,-0.002821897927920647,0.0378,-0.0392,-0.1481,0.1961,5.82,21.03,19.09,3.21,6.95,1,127.36,881643
"Illumina, Inc.",ILMN,1311360,15.03,0,718780000.0,3.63,0.87,4.29,3.07,157.27,23900000000.0,-0.03217606943583384,3.92,53.21,0.0,0.0388,0.065,-0.1258,0.3686,10.73,45.01,38.08,9.84,3.63,0,153.40,892449
Intel Corporation,INTC,21684600,13.99,2.85,22960000000.0,2.78,0.64,2.93,2.12,36.62,172730000000.0,0.12249382037901668,1.61,17.21,-0.0024718483932983926,-0.0037,0.0128,-0.0512,0.28559999999999997,2.60,13.12,12.45,2.90,3.47,0,36.02,18935627
Intuit Inc.,INTU,1141380,3.64,1.13,1430000000.0,4.35,3.89,4.96,3.74,117.35,30620000000.0,-0.02486233939596194,1.59,31.92,-0.003670949441014537,0.0167,0.056600000000000004,-0.0104,0.26780000000000004,32.92,27.43,24.05,6.46,2.35,0,112.91,112910
International Paper Company,IP,2990830,10.55,3.55,2850000000.0,3.61,0.85,4.19,2.18,53.94,21450000000.0,0.02903709254402398,1.57,23.94,-0.0033720494567253123,-0.0333,0.0496,-0.114,0.56,5.06,14.45,12.45,1.04,3.61,1,49.68,3944613
"Interpublic Group of Companies,",IPG,3737370,4.89,2.94,1100000000.0,1.46,0.35,1.63,1.49,23.65,9730000000.0,0.08779093507554103,2.95,16.44,0.0,0.036000000000000004,0.059000000000000004,-0.032799999999999996,0.18530000000000002,5.01,16.78,15.03,1.24,3.95,1,23.14,3356504
Ingersoll-Rand plc (Ireland),IR,1916260,25.65,1.98,1920000000.0,4.47,1.44,4.97,5.65,78.58,21000000000.0,0.04494382022471921,2.01,14.34,-0.0006173601679219098,0.03,0.12380000000000001,-0.015,0.5771999999999999,3.16,18.11,16.29,1.56,2.74,1,72.02,19798
Iron Mountain Incorporated (Del,IRM,1477330,8.07,5.92,1000000000.0,1.11,0.29,1.27,0.26,35.28,9790000000.0,0.10270270270270254,3.33,140.72,-0.000540540540540646,0.053099999999999994,0.0581,-0.1048,0.3005,4.59,33.47,29.25,2.93,11.14,1,35.11,1762725
"Intuitive Surgical, Inc.",ISRG,367997,148.91,0,1050000000.0,23.49,5.86,26.53,18.73,680.02,28110000000.0,0.03261396870278732,2.61,38.69,-0.004213619415914804,0.06559999999999999,0.0717,-0.0037,0.3661,4.84,30.85,27.31,10.35,9.03,0,676.20,387769
Illinois Tool Works Inc.,ITW,1280750,12.26,2.00,3530000000.0,6.18,1.60,6.83,5.70,125.88,45160000000.0,0.022570244127130268,2.28,22.86,-0.008367879625364671,0.0352,0.07429999999999999,-0.0004,0.40130000000000005,10.62,21.09,19.08,3.32,4.35,1,121.29,1939713
Invesco Ltd,IVZ,3166200,18.94,3.44,1350000000.0,2.40,0.58,2.71,2.06,30.86,13290000000.0,0.01658986175115218,1.81,15.80,-0.015360983102918557,0.054299999999999994,0.0605,-0.024,0.4139,1.72,13.56,12.01,2.81,2.24,1,30.68,2121062
"J.B. Hunt Transport Services, I",JBHT,917097,12.70,0.91,1080000000.0,4.16,1.00,4.77,3.81,98.27,11250000000.0,0.03553048297703865,1.95,26.54,-0.0003958828186857444,0.0288,0.1398,-0.0125,0.3578,7.95,24.30,21.19,1.72,3.65,0,88.70,15744
Jacobs Engineering Group Inc.,JEC,1054560,33.59,1.04,642120000.0,3.13,0.82,3.47,1.85,58.27,6970000000.0,0.014738268676943944,2.34,31.14,-0.0015246484838218333,-0.0113,0.0417,-0.0916,0.5702,1.76,18.58,16.60,0.67,3.77,1,55.30,1196361
Johnson & Johnson,JNJ,6938980,26.73,2.69,24810000000.0,7.04,1.81,7.38,5.93,114.72,323360000000.0,0.061399051490514944,2.86,20.04,0.0009315718157181241,0.036000000000000004,0.0182,-0.0572,0.1543,4.42,16.88,16.11,4.47,2.18,1,116.74,8693850
"Juniper Networks, Inc.",JNPR,3754710,13.09,1.41,1120000000.0,2.19,0.53,2.35,1.55,27.73,10790000000.0,0.01210395158419364,1.16,18.32,-0.0010679957280170793,0.023700000000000002,0.1096,-0.0281,0.3407,2.15,12.96,12.08,2.14,1.95,1,25.59,3280644
JP Morgan Chase & Co. Common St,JPM,17031500,63.89,2.13,0.00,6.55,1.65,7.47,6.19,85.92,322180000000.0,-0.014580801944107047,2.22,14.58,-0.007842704075996965,0.0501,0.2087,-0.0026,0.6607999999999999,1.42,13.78,12.08,3.58,2.17,1,74.65,15776589
"Nordstrom, Inc.",JWN,3207560,4.97,3.24,1590000000.0,2.93,0.32,3.06,1.88,44.82,7920000000.0,0.10321412403802621,3.12,24.32,0.0029425079221367945,0.0194,-0.0981,-0.2727,0.30510000000000004,8.90,15.59,14.93,0.52,8.52,1,50.66,4296132
Kellogg Company,K,1724730,5.44,2.85,2250000000.0,3.94,0.97,4.34,1.96,73.10,25590000000.0,0.10467139606478404,2.67,37.19,-0.023022353098648085,-0.0028000000000000004,-0.0394,-0.1636,0.030600000000000002,13.72,18.50,16.80,2.02,2.88,1,75.89,4179456
KeyCorp,KEY,12357900,12.58,1.79,0.00,1.31,0.32,1.51,0.80,18.28,20460000000.0,0.04791995787256442,1.28,23.67,-0.010005265929436402,0.037200000000000004,0.2421,-0.013000000000000001,0.857,1.51,14.47,12.56,4.34,1.67,1,15.26,8007180
The Kraft Heinz Company,KHC,3253050,47.13,2.48,8529999999.999999,3.24,1.02,4.10,2.81,88.64,117620000000.0,0.03448670944088006,1.59,34.40,0.054078826764436316,0.09029999999999999,0.10769999999999999,-0.0115,0.3456,1.85,25.57,23.57,4.01,4.65,0,87.25,30080515
Kimco Realty Corporation,KIM,3333510,12.37,4.44,748300000.0,0.63,0.16,0.70,0.79,25.04,10340000000.0,0.13371853074700768,12.13,30.80,0.0004127115146512761,-0.0285,-0.10400000000000001,-0.24530000000000002,0.0129,1.96,38.62,34.76,8.78,3.99,1,27.15,3157878
KLA-Tencor Corporation,KLAC,1543800,6.16,2.44,1250000000.0,5.75,1.53,6.08,5.50,83.68,13860000000.0,-0.021009827177228102,1.29,16.08,-0.0030498136225007855,0.0572,0.1594,-0.0014000000000000002,0.35840000000000005,14.38,15.38,14.55,4.26,1.88,0,76.30,1431179
"Kinder Morgan, Inc.",KMI,12980200,15.44,2.30,6160000000.0,0.68,0.15,0.79,0.25,22.19,48600000000.0,0.17301514456172562,-64.02,88.50,-0.0018357044515832088,-0.018799999999999997,0.009399999999999999,-0.0681,0.3091,1.41,32.01,27.56,3.73,1.53,1,21.57,14646706
CarMax Inc,KMX,1970540,16.09,0,1210000000.0,3.29,1.00,3.57,3.16,66.62,12540000000.0,-0.01288810779144689,1.56,21.24,-0.00951962507322801,0.0059,0.1352,-0.0302,0.5418,4.24,20.37,18.77,0.82,10.31,1,59.04,2383545
Coca-Cola Company (The) Common,KO,13577600,5.38,3.40,11610000000.0,1.87,0.57,1.96,1.49,41.45,176790000000.0,0.06286407766990276,7.58,27.67,-0.0016990291262135582,-0.0054,-0.0218,-0.1252,0.0339,7.66,22.05,21.04,4.22,2.89,1,42.15,15065148
Michael Kors Holdings Limited O,KORS,3016810,11.42,0,1220000000.0,4.17,0.83,4.04,4.38,41.92,6210000000.0,0.09159905783826217,2.28,8.75,-0.0068045014394136905,-0.0863,-0.1855,-0.35619999999999996,0.0968,3.35,9.18,9.48,1.34,5.90,1,47.02,2465465
Kroger Company (The) Common Sto,KR,7606270,7.08,1.41,5880000000.0,2.11,0.70,2.24,2.08,33.80,31910000000.0,0.06334708308780224,2.60,16.34,-0.0011785503830288313,0.0062,0.0426,-0.16870000000000002,0.18460000000000001,4.79,16.12,15.18,0.28,1.85,1,32.62,7385185
Kohl's Corporation,KSS,4457640,29.02,4.77,2380000000.0,3.64,0.34,3.73,3.29,41.63,7410000000.0,0.10209487117746208,1.50,12.77,-0.0007223693715386892,0.008100000000000001,-0.0795,-0.2966,0.2391,1.43,11.53,11.25,0.39,3.56,1,45.59,3499183
Kansas City Southern Common Sto,KSU,1733680,38.31,1.52,1120000000.0,5.06,1.25,5.63,4.43,84.94,9310000000.0,0.10852802393831262,1.52,19.72,0.003912993439981527,0.028300000000000002,-0.0248,-0.1326,0.10490000000000001,2.27,17.26,15.51,3.97,1.32,1,89.56,53259
Loews Corporation,L,873906,54.22,0.53,1680000000.0,3.03,0.74,3.20,1.87,46.53,15810000000.0,-0.08471690080885474,2.77,25.15,0,0.0097,0.0764,-0.0223,0.3127,0.87,15.50,14.68,1.21,2.31,1,43.64,0
"Leggett & Platt, Incorporated C",LEG,880784,8.19,2.80,597900000.0,2.63,0.70,2.83,2.76,48.34,6490000000.0,0.04261481175010329,7.07,17.64,-0.0018618121638395158,0.005699999999999999,-0.0055000000000000005,-0.11,0.1502,5.90,18.49,17.18,1.72,6.95,1,48.89,700829
Lennar Corporation Class A,LEN,2547980,29.97,0.34,1340000000.0,3.82,0.94,4.50,3.93,44.94,10890000000.0,0.10978778692074487,1.36,11.81,-0.003681247293200518,0.0338,0.053899999999999997,-0.0633,0.17120000000000002,1.54,11.14,10.32,0.99,3.21,1,44.09,1233421
Laboratory Corporation of Ameri,LH,778874,53.30,0.00,1900000000.0,9.60,2.53,10.38,7.02,133.48,14420000000.0,0.10007880220646181,1.60,19.88,0,0.0458,0.050300000000000004,-0.012199999999999999,0.31679999999999997,2.62,14.54,13.45,1.53,2.84,1,132.90,0
LKQ Corporation,LKQ,1911810,11.15,0,1020000000.0,1.81,0.49,2.02,1.53,31.49,9820000000.0,0.20825515947467177,0.53,20.88,-0.0031269543464665928,0.014199999999999999,-0.0387,-0.1213,0.2863,2.87,17.65,15.81,1.16,2.06,0,33.23,2292395
"L3 Technologies, Inc.",LLL,589889,58.86,1.78,1210000000.0,8.61,2.08,9.39,9.01,156.09,13000000000.0,0.05373595672591103,3.02,18.67,0,0.07780000000000001,0.1099,-0.0029,0.4534,2.86,19.54,17.92,1.24,1.93,1,151.57,0
Linear Technology Corporation,LLTC,1589870,7.81,2.03,725980000.0,2.22,0.59,2.41,2.04,63.02,15630000000.0,-0.024537037037037024,2.98,31.82,-0.0010802469135801074,0.0301,0.0687,-0.0002,0.5542,8.30,29.24,26.94,10.51,5.92,0,60.74,1331431
Eli Lilly and Company,LLY,6132970,14.74,2.59,5410000000.0,4.10,1.03,4.39,2.58,76.79,86190000000.0,0.08008495752123923,1.73,31.18,0.0012493753123437035,0.046900000000000004,0.048600000000000004,-0.0405,0.2526,5.43,19.61,18.31,4.04,2.22,1,76.67,3111155
Lockheed Martin Corporation,LMT,1410400,5.23,2.74,6110000000.0,12.63,3.09,14.09,17.49,256.11,76690000000.0,0.06124448799608029,2.52,15.17,-0.002336712772773586,0.0361,0.0574,-0.0169,0.2582,50.75,21.01,18.83,1.62,1.58,1,250.94,883077
Lincoln National Corporation Co,LNC,1564770,63.98,1.62,1800000000.0,6.97,1.73,7.48,5.03,67.78,16219999999.999998,0.02642444260941379,1.19,14.25,-0.01073492981007429,0.0576,0.2815,-0.008199999999999999,1.1797,1.14,10.29,9.58,1.23,4.28,1,55.94,1829664
Alliant Energy Corporation,LNT,981497,16.96,3.31,1030000000.0,1.88,0.43,2.00,1.51,37.57,8660000000.0,-0.024518850514104962,3.36,25.20,0.0010545742156604643,0.0137,0.011000000000000001,-0.071,0.1449,2.24,20.26,19.04,2.64,5.45,1,37.67,1254972
"Lowe's Companies, Inc.",LOW,5562090,7.56,1.82,7540000000.0,3.92,1.02,4.53,2.72,72.80,66750000000.0,0.06328616352201277,1.25,28.17,-0.002096436058700135,0.0542,0.0529,-0.08259999999999999,0.1833,10.10,19.58,16.94,1.06,1.19,1,72.88,5446348
Lam Research Corporation,LRCX,1925820,39.39,1.57,1620000000.0,9.23,2.65,8.69,5.58,113.04,18710000000.0,0.1511739547874662,0.80,20.60,-0.0024439207471413926,0.016399999999999998,0.1321,-0.0356,0.685,2.91,12.45,13.22,2.93,5.93,0,101.50,2112082
Leucadia National Corporation,LUK,1531720,27.97,0.98,1060000000.0,0.20,0.00,1.38,0.12,23.80,9200000000.0,0.18436636399526263,7.04,218.46,-0.0031583103039872773,0.0739,0.22030000000000002,-0.0008,0.7912,0.91,127.80,18.52,0.86,4.14,1,20.95,2498122
Southwest Airlines Company,LUV,5496070,13.72,0.70,5270000000.0,3.89,1.19,4.68,3.55,52.29,35270000000.0,0.10401135960241392,1.38,16.16,-0.00390486332978357,0.0962,0.2963,-0.0127,0.6183,4.11,14.74,12.25,1.70,1.06,1,44.22,6077226
"Level 3 Communications, Inc. Co",LVLT,2243050,30.33,0,2680000000.0,1.54,0.39,1.85,1.87,58.45,20620000000.0,0.10134310134310143,-1.00,30.64,-0.0022675736961450532,-0.0196,0.0857,-0.0471,0.302,1.89,37.21,30.97,2.53,1.73,1,52.78,2366556
LyondellBasell Industries NV Or,LYB,3149290,14.97,3.66,6110000000.0,9.98,2.68,9.00,9.13,90.76,37540000000.0,0.05243284065163456,-3.37,10.18,-0.0023735030747653596,0.0236,0.1167,-0.0484,0.3307,6.19,9.31,10.32,1.28,2.87,1,83.20,2401810
Macy's Inc,M,8136560,12.40,4.67,3010000000.0,3.05,0.40,3.20,2.20,31.16,9870000000.0,0.11345065996228776,0.57,14.70,0.004399748585795171,0.0365,-0.11230000000000001,-0.2901,0.1313,2.57,10.59,10.09,0.37,1.89,1,36.39,8200478
Mastercard Incorporated Common,MA,3697260,5.23,0.80,6250000000.0,4.26,1.06,4.95,3.69,107.22,117950000000.0,0.11591948764867332,1.72,29.65,-0.0005489478499542955,0.020499999999999997,0.069,-0.0149,0.29350000000000004,20.89,25.69,22.11,10.93,1.57,1,102.36,2851173
Mid-America Apartment Communiti,MAA,1443300,56.41,3.49,617070000.0,2.07,0.50,2.34,2.69,97.05,11310000000.0,0.05187493716698488,6.88,37.03,0.003317583190911799,0.0265,0.0537,-0.0944,0.1714,1.76,48.13,42.57,10.03,1.98,1,94.54,1069560
Macerich Company (The) Common S,MAC,927419,28.52,4.28,641380000.0,0.64,0.13,0.77,3.52,69.53,9560000000.0,0.11819269898264495,-943.36,18.87,0.0005984440454815942,-0.044800000000000006,-0.1165,-0.2973,0.0062,2.34,103.77,86.25,8.87,3.18,1,75.17,2134498
Marriott International,MAR,2588740,14.96,1.34,1880000000.0,4.01,1.04,4.64,2.64,84.79,34890000000.0,0.017889087656529634,1.46,33.85,-0.0017889087656529634,0.053899999999999997,0.1739,-0.018799999999999997,0.46799999999999997,5.98,22.28,19.26,9.90,3.83,0,76.12,5275189
"Mattel, Inc.",MAT,5366370,7.02,5.82,824150000.0,1.46,0.02,1.69,0.92,27.97,8940000000.0,0.18153486560186982,1.14,28.37,0.0,-0.0669,-0.14529999999999998,-0.2491,0.0368,3.66,17.88,15.44,1.61,4.79,0,30.54,7937261
Microchip Technology Incorporat,MCHP,3130120,11.86,2.01,925100000.0,3.89,1.11,4.49,0.41,67.91,15510000000.0,0.16273880909217686,0.83,174.40,-0.002370659601171221,0.0556,0.1291,-0.063,0.726,6.05,18.43,15.96,5.07,7.37,0,63.48,2295182
McKesson Corporation Common Sto,MCK,2071870,36.27,0.75,4620000000.0,12.69,2.89,11.92,8.43,144.33,31860000000.0,0.03400998336106498,1.51,17.83,0,0.040999999999999995,-0.0452,-0.2466,0.3119,4.14,11.84,12.60,0.16,2.00,1,157.37,0
"Mondelez International, Inc.",MDLZ,8412250,16.34,1.79,4330000000.0,2.11,0.49,2.33,1.05,44.56,65450000000.0,0.1425925925925926,1.89,40.48,-0.031018518518518556,-0.0462,-0.0227,-0.08410000000000001,0.0839,2.64,20.14,18.24,2.57,2.07,0,43.49,29244026
Medtronic plc. Ordinary Shares,MDT,6785570,36.55,2.18,8960000000.0,4.56,1.31,4.95,3.00,75.03,108310000000.0,0.08757533017053465,2.35,26.27,-0.0016668803692780898,0.0513,-0.0175,-0.1164,0.1374,2.13,17.30,15.94,3.69,1.41,1,80.28,9954648
"MetLife, Inc. Common Stock",MET,6099780,61.44,3.02,1810000000.0,5.33,1.30,5.82,0.63,53.88,58030000000.0,0.11444547996272125,0.89,84.21,-0.008201304753028826,-0.0169,0.0842,-0.08810000000000001,0.4645,0.87,9.94,9.13,0.93,3.40,1,48.85,7975887
"McCormick & Company, Incorporat",MKC,751868,12.98,1.93,754100000.0,4.08,0.82,4.46,3.69,94.25,12220000000.0,-0.00010246951531922566,2.81,26.45,0,0.0354,0.0215,-0.095,0.10099999999999999,7.52,23.92,21.88,2.77,6.07,1,95.53,0
"Marsh & McLennan Companies, Inc",MMC,2029050,12.20,1.85,3100000000.0,3.73,1.01,4.19,3.38,69.13,37790000000.0,0.029757029757029763,1.90,21.75,-0.0045045045045044585,0.0635,0.08810000000000001,0.0,0.301,6.00,19.71,17.55,2.85,2.24,1,67.57,2029848
3M Company,MMM,1884880,17.26,2.57,8700000000.0,8.62,2.23,9.38,8.16,177.83,109070000000.0,0.023553786598331516,2.38,22.42,0.00010904530832567261,0.0288,0.0415,-0.0034999999999999996,0.19079999999999997,10.63,21.22,19.50,3.63,3.68,1,175.66,1961456
Mallinckrodt plc Ordinary Share,MNK,2390810,47.62,0,1480000000.0,7.56,1.94,8.52,2.58,49.90,5730000000.0,0.43580952380952365,1.07,21.24,0.0003809523809523707,0.0971,-0.1192,-0.36219999999999997,0.2829,1.10,7.24,6.42,1.62,4.45,1,62.15,2778363
Monster Beverage Corporation,MNST,2695160,5.95,0,1140000000.0,1.24,0.33,1.48,1.11,43.61,24910000000.0,0.23981588032220924,1.66,39.17,0.0,0.0005,-0.0706,-0.2139,0.0825,7.30,35.19,29.48,8.44,3.00,0,46.95,3173346
"Altria Group, Inc.",MO,6441480,6.58,3.34,9260000000.0,3.31,0.87,3.57,7.28,70.24,141560000000.0,-0.011002613120616123,2.79,10.02,-0.004263512584238627,0.038900000000000004,0.1041,-0.0001,0.2268,11.05,22.05,20.44,7.29,1.45,1,66.09,5568749
Monsanto Company Common Stock,MON,1880910,10.04,1.98,4010000000.0,4.73,1.83,5.39,3.65,107.66,47800000000.0,0.11070144713798502,2.87,29.89,0.0024887086367408884,0.0125,0.0417,-0.046,0.3018,10.81,23.04,20.22,3.41,1.56,1,104.63,2225280
Mosaic Company (The) Common Sto,MOS,4936280,27.37,1.79,1200000000.0,1.07,0.31,1.27,0.85,31.13,11760000000.0,-0.1375565610859728,1.51,39.52,-0.00030165912518842486,0.0789,0.20370000000000002,-0.0118,0.5131,1.21,31.39,26.45,1.62,6.21,1,27.91,2771476
Marathon Petroleum Corporation,MPC,5906260,25.37,2.88,4660000000.0,3.11,1.23,3.77,2.21,49.44,26410000000.0,0.25540432345876707,-16.39,22.63,-0.005804643714971913,0.011699999999999999,0.1038,-0.0837,0.6325,1.97,16.08,13.27,0.47,1.84,1,45.32,3352675
"Merck & Company, Inc. Common St",MRK,10772000,15.84,2.88,15460000000.0,3.82,0.88,4.19,2.04,61.60,180290000000.0,0.050413729696598075,2.70,32.05,-0.0009193993257738953,0.061500000000000006,0.059500000000000004,-0.0026,0.32799999999999996,4.12,17.12,15.61,4.52,1.40,1,61.72,9048256
Morgan Stanley,MS,11257700,37.11,1.73,0.00,3.42,0.86,3.96,2.92,43.74,85470000000.0,0.031012795489048006,1.00,15.80,-0.012144870960746124,0.0552,0.2445,-0.0128,1.0348,1.24,13.49,11.65,2.47,1.17,1,37.08,8311978
Microsoft Corporation,MSFT,24275300,8.90,2.41,27740000000.0,2.98,0.69,3.26,2.12,63.47,499350000000.0,0.07811531308121533,2.33,30.41,-0.0007749535027897769,0.0182,0.0746,-0.0196,0.3453,7.25,21.68,19.82,5.82,1.65,0,60.14,21255554
M&T Bank Corporation Common Sto,MTB,991316,97.66,1.67,0.00,8.71,2.17,9.82,7.78,159.08,26230000000.0,-0.06390977443609025,2.59,21.58,-0.006564029120420201,0.0555,0.25670000000000004,-0.0007000000000000001,0.647,1.72,19.28,17.10,5.13,4.65,1,133.61,731495
"Mettler-Toledo International, I",MTD,190687,16.72,0,588240000.0,16.69,3.60,18.57,14.22,436.85,12230000000.0,-0.04990563609848153,2.32,33.16,-0.0012224414514883097,0.0794,0.13,0.0,0.5215,27.89,28.25,25.39,4.82,8.49,1,417.31,166443
Mylan N.V.,MYL,5135210,22.10,0.00,3300000000.0,4.74,0.99,5.33,0.50,38.47,22500000000.0,0.17859690844233067,1.00,84.27,0,0.09300000000000001,0.06269999999999999,-0.16570000000000001,0.2515,1.90,8.87,7.89,2.18,3.92,0,39.57,2262
Navient Corporation,NAVI,2799550,12.71,4.14,0.00,1.83,0.46,1.90,2.12,15.87,4500000000.0,0.16504854368932054,2.98,7.29,0,-0.026600000000000002,0.0177,-0.1393,0.5977,1.22,8.44,8.13,2.15,4.42,0,15.18,0
"Nasdaq, Inc.",NDAQ,830094,32.75,1.79,1160000000.0,4.25,1.02,4.64,0.64,68.76,11860000000.0,0.07499299130922332,1.70,111.73,-0.002943650126156494,0.04,0.051399999999999994,-0.005699999999999999,0.16870000000000002,2.18,16.83,15.41,3.19,4.38,0,68.02,2710388
"NextEra Energy, Inc.",NEE,2000420,51.90,2.74,7670000000.0,6.63,1.76,7.10,6.25,121.67,59500000000.0,0.08352484348997535,2.82,20.30,0.003962279102940114,0.042699999999999995,0.042800000000000005,-0.0388,0.1602,2.43,19.13,17.87,3.66,3.21,1,121.66,2338604
"Netflix, Inc.",NFLX,6870930,6.23,0,437320000.0,1.12,0.24,2.05,0.43,137.38,61210000000.0,0.03640588690937263,1.59,330.74,-0.001830856981902662,0.0353,0.2229,-0.0256,0.6831,22.79,126.98,69.38,6.92,2.64,0,116.29,4591994
NiSource Inc Common Stock,NI,2897040,11.82,3.08,1350000000.0,1.08,0.64,1.16,0.94,22.25,7330000000.0,0.05903083700440526,2.28,24.12,0,0.02,-0.011200000000000002,-0.1574,0.084,1.92,21.02,19.57,1.71,2.28,1,22.96,0
"Nike, Inc. Common Stock",NKE,8953140,7.44,1.27,5180000000.0,2.34,0.58,2.64,2.27,52.98,93890000000.0,0.09806359921833363,2.01,25.02,-0.0030200746136080925,0.0712,0.0625,-0.1328,0.15789999999999998,7.56,24.25,21.50,2.78,2.97,1,53.41,12637964
Nielsen N.V. Ordinary Shares,NLSN,2991330,11.88,2.75,1620000000.0,2.67,0.67,2.95,1.39,42.28,16110000000.0,0.08985507246376812,2.25,32.43,-0.006243032329988907,0.0662,-0.0452,-0.1941,0.1192,3.78,16.88,15.28,2.54,1.87,1,47.21,2867902
Northrop Grumman Corporation Co,NOC,1094540,30.04,1.48,3650000000.0,11.87,2.90,13.34,12.19,233.40,42530000000.0,0.058050743082354916,2.44,19.98,0,0.0436,0.0718,-0.0403,0.3161,8.11,20.52,18.26,1.74,1.51,1,227.27,0
Norfolk Southern Corporation,NSC,1981400,42.73,1.99,4099999999.9999995,6.15,1.60,6.85,5.62,116.18,35670000000.0,-0.03977873586593994,1.68,21.84,-0.002359066135198984,0.056799999999999996,0.2057,-0.0052,0.705,2.88,19.96,17.92,3.61,1.17,1,101.84,1266960
"NetApp, Inc.",NTAP,2997120,9.83,1.89,748000000.0,2.69,0.66,3.07,1.10,37.36,11010000000.0,0.02021696252465488,0.99,36.68,-0.0064102564102564985,0.0751,0.1496,-0.04769999999999999,0.7853,4.13,14.93,13.08,2.05,5.12,0,34.94,3930630
