AverageDailyVolume,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,Change_PercentChange,ChangeinPercent,DaysHigh,DaysLow,DaysRange,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,FiftydayMovingAverage,LastTradeTime,MarketCapitalization,OneyrTargetPrice,Open,PEGRatio,PERatio,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PriceSales,ShortRatio,StockExchange,TwoHundreddayMovingAverage,Volume,symbol
4577850,18.700,+0.695,1.656,1.141,-3.755,6.545,+0.695 - +2.308%,+2.308%,30.920,29.990,29.990 - 30.920,2/15/2017,0.400,1.300,1.52B,2.730,0.740,2.990,2.489,29.149,3:32pm,11.50B,34.530,30.110,1.210,12.376,-10.865%,+2.308%,+5.681%,+3.845%,+26.979%,30.110,1.610,11.284,10.303,0.889,2.080,NYQ,29.664,4132554,DHI
2994310,33.23,+0.53,3.35,5.17,-0.11,19.41,+0.53 - +0.63%,+0.63%,84.69,83.64,83.64 - 84.69,1/27/2017,0.50,0.60,3.88B,3.94,0.98,4.28,3.65,81.28,3:42pm,58.58B,90.44,83.75,2.25,23.17,-0.13%,+0.63%,+4.12%,+6.50%,+29.75%,84.10,2.53,21.48,19.77,3.45,2.09,NYQ,79.46,1721231,DHR
7949020,27.006,+0.065,2.116,11.370,-1.595,20.785,+0.065 - +0.059%,+0.059%,110.680,109.801,109.801 - 110.680,1/11/2017,1.560,1.430,16.78B,5.940,1.690,6.720,5.540,108.279,3:34pm,174.56B,116.290,109.910,1.960,19.927,-1.424%,+0.059%,+1.954%,+11.482%,+23.195%,110.330,4.085,18.616,16.428,3.162,2.160,NYQ,99.025,5328591,DIS
2756430,8.74,+0.10,0.80,1.77,-1.12,4.97,+0.10 - +0.35%,+0.35%,28.92,28.35,28.35 - 28.92,,,,2.44B,1.92,0.68,2.49,1.77,27.83,3:11pm,13.08B,28.35,28.47,1.03,16.18,-3.76%,+0.35%,+2.89%,+6.61%,+21.01%,28.53,3.26,12.90,11.50,2.01,7.79,NMS,26.86,2567113,DISCA
1372950,8.74,+0.08,0.79,1.88,-0.94,5.54,+0.08 - +0.29%,+0.29%,28.25,27.68,27.68 - 28.25,,,,2.44B,1.91,0.51,2.22,1.77,27.18,2:17pm,12.78B,28.33,27.85,1.07,15.81,-3.25%,+0.29%,+2.91%,+7.21%,+24.70%,27.89,3.19,14.64,12.60,1.97,2.24,NMS,26.09,896800,DISCK
2210020,8.900,+0.488,5.194,8.031,-1.552,18.408,+0.488 - +0.642%,+0.642%,76.460,75.220,75.220 - 76.460,2/15/2017,1.160,1.560,2.98B,6.530,1.690,7.160,4.590,71.254,3:27pm,20.61B,83.850,75.260,0.960,16.655,-1.990%,+0.642%,+7.290%,+11.738%,+31.716%,75.960,8.535,11.707,10.677,1.229,2.760,NYQ,68.417,888367,DLPH
1344320,26.09,-1.09,-0.20,6.53,-9.00,27.28,-1.09 - -1.04%,-1.04%,104.86,103.44,103.44 - 104.86,1/13/2017,3.52,3.28,1.02B,2.01,0.34,1.48,1.45,104.41,2:11pm,16.56B,107.38,104.86,1.52,71.82,-7.95%,-1.04%,-0.20%,+6.69%,+35.46%,105.30,4.04,51.85,70.41,8.04,13.19,NYQ,97.68,1472147,DLR
2919920,21.39,-1.06,1.57,-3.28,-21.19,6.19,-1.06 - -1.33%,-1.33%,79.99,78.35,78.35 - 79.99,,,,2.27B,3.79,1.10,4.51,3.40,77.17,3:14pm,18.59B,91.80,79.40,0.92,23.15,-21.20%,-1.33%,+2.04%,-4.00%,+8.53%,79.80,3.73,20.78,17.46,0.92,2.77,NMS,82.02,1554038,DLTR
293452,-29.02,+0.73,-13.93,-20.51,-35.19,15.14,+0.73 - +0.69%,+0.69%,107.38,105.53,105.53 - 107.38,3/10/2017,2.01,1.96,430.93M,7.13,1.22,7.33,2.65,120.31,4:02pm,3.91B,110.00,106.08,2.60,40.16,-24.85%,+0.69%,-11.58%,-16.16%,+16.59%,105.65,,15.00,14.51,2.28,4.16,NYQ,126.89,432435,DNB
1213750,24.45,+0.40,2.02,7.00,-2.17,22.76,+0.40 - +0.50%,+0.50%,80.20,79.32,79.32 - 80.20,12/15/2016,1.76,2.22,1.08B,3.58,0.92,4.26,3.25,78.13,4:00pm,12.45B,82.67,79.51,1.85,24.66,-2.64%,+0.50%,+2.58%,+9.56%,+39.66%,79.75,3.26,22.39,18.81,1.82,1.86,NYQ,73.15,665523,DOV
6367230,21.46,-0.62,2.12,5.79,-0.75,14.92,-0.62 - -1.00%,-1.00%,61.54,61.06,61.06 - 61.54,4/28/2017,1.84,3.01,8.69B,4.08,1.05,4.34,3.52,58.98,4:01pm,74.13B,66.78,61.48,2.16,17.36,-1.21%,-1.00%,+3.59%,+10.47%,+32.31%,61.72,2.88,14.98,14.08,1.55,2.09,NYQ,55.31,7743826,DOW
1369050,11.58,-0.25,1.68,2.48,-5.98,11.77,-0.25 - -0.27%,-0.27%,93.12,91.64,91.64 - 93.12,4/5/2017,2.32,2.48,1.65B,4.41,1.32,5.13,4.61,91.14,4:03pm,17.05B,95.24,92.50,2.05,20.15,-6.05%,-0.27%,+1.85%,+2.75%,+14.52%,93.07,8.03,19.71,18.09,2.67,5.78,NYQ,90.34,1938980,DPS
1639250,14.93,-0.25,2.76,8.11,-3.44,16.59,-0.25 - -0.33%,-0.33%,76.06,75.27,75.27 - 76.06,2/1/2017,2.24,2.94,930.20M,3.94,1.15,4.32,3.41,73.23,3:05pm,9.44B,76.78,76.06,1.50,22.26,-4.33%,-0.33%,+3.77%,+11.94%,+27.93%,76.24,5.11,19.29,17.59,1.35,8.27,NYQ,67.88,780679,DRI
1003790,50.88,-0.25,-0.28,2.64,-2.49,16.21,-0.25 - -0.25%,-0.25%,98.10,97.15,97.15 - 98.10,4/15/2017,3.30,3.39,2.45B,5.33,1.06,5.69,4.83,98.24,4:01pm,17.58B,102.35,97.47,3.65,20.28,-2.48%,-0.25%,-0.29%,+2.77%,+19.83%,98.21,1.93,18.38,17.22,1.66,3.89,NYQ,95.32,1022280,DTE
3171510,58.77,-0.40,-0.74,-1.61,-10.97,4.44,-0.40 - -0.52%,-0.52%,77.17,76.28,76.28 - 77.17,3/16/2017,3.42,4.38,9.61B,4.67,1.08,4.60,4.13,77.52,4:01pm,52.90B,79.78,76.79,9.22,18.57,-12.50%,-0.52%,-0.95%,-2.05%,+6.14%,77.18,1.31,16.41,16.69,2.32,3.07,NYQ,78.39,3801527,DUK
1597990,24.46,+0.17,0.58,0.61,-13.87,10.40,+0.17 - +0.26%,+0.26%,65.03,64.22,64.22 - 65.03,,,,2.49B,3.76,0.77,3.49,3.43,64.32,3:11pm,12.81B,65.20,64.45,1.28,18.92,-17.61%,+0.26%,+0.90%,+0.95%,+19.08%,64.73,2.65,17.26,18.60,0.88,4.65,NYQ,64.29,923323,DVA
4426930,11.15,-1.29,-1.57,0.74,-6.04,26.58,-1.29 - -2.81%,-2.81%,47.25,43.82,43.82 - 47.25,3/31/2017,0.24,0.53,2.37B,-0.13,0.40,2.60,-17.04,46.22,2:27pm,23.38B,53.11,46.30,11.79,,-11.92%,-2.81%,-3.40%,+1.70%,+147.09%,45.94,4.12,26.11,17.17,2.32,3.09,NYQ,43.91,7323456,DVN
2894340,11.56,+1.89,6.67,7.01,-0.09,30.63,+1.89 - +2.20%,+2.20%,88.04,85.70,85.70 - 88.04,,,,1.24B,3.83,0.20,4.18,4.12,81.28,4:00pm,27.11B,94.38,85.92,1.38,21.35,-0.10%,+2.20%,+8.20%,+8.67%,+53.44%,86.06,7.44,22.96,21.04,5.73,3.48,NMS,80.94,3237644,EA
10468000,9.695,+0.475,2.884,3.514,-0.045,11.805,+0.475 - +1.412%,+1.412%,34.150,33.500,33.500 - 34.150,,,,3.01B,2.010,0.470,2.220,6.353,31.221,3:31pm,37.07B,34.380,33.620,2.290,5.368,-0.132%,+1.412%,+9.238%,+11.486%,+52.937%,33.630,3.469,16.968,15.363,4.071,1.450,NMS,30.591,5997317,EBAY
900684,23.56,+0.56,3.71,4.36,-1.20,24.78,+0.56 - +0.46%,+0.46%,123.91,122.05,122.05 - 123.91,1/17/2017,1.48,1.22,2.87B,4.40,0.89,4.90,3.60,119.69,4:02pm,35.98B,122.78,122.35,2.40,34.31,-0.96%,+0.46%,+3.10%,+3.67%,+25.13%,122.84,5.21,28.05,25.18,2.71,3.98,NYQ,119.04,1035964,ECL
1585240,46.78,+0.01,-0.01,-0.29,-8.18,5.26,+0.01 - +0.01%,+0.01%,73.76,72.94,72.94 - 73.76,3/15/2017,2.76,3.69,3.59B,3.96,1.16,4.14,4.06,73.71,4:01pm,22.46B,72.70,73.21,9.30,18.16,-9.99%,+0.01%,-0.01%,-0.39%,+7.69%,73.69,1.58,18.61,17.80,1.86,6.57,NYQ,73.99,1795738,ED
899002,22.21,-0.29,9.49,4.89,-6.94,30.54,-0.29 - -0.22%,-0.22%,130.58,128.32,128.32 - 130.58,3/15/2017,1.56,1.19,1.09B,6.04,1.58,6.68,4.04,120.54,3:57pm,15.59B,140.50,129.26,1.96,32.19,-5.07%,-0.22%,+7.87%,+3.91%,+30.70%,130.32,5.87,21.53,19.47,4.97,4.43,NYQ,125.14,549538,EFX
1652860,36.26,-0.72,2.17,2.55,-4.05,12.90,-0.72 - -0.96%,-0.96%,75.10,74.26,74.26 - 75.10,1/31/2017,2.17,2.89,3.69B,3.92,0.87,4.11,2.70,72.50,2:59pm,24.33B,77.88,74.83,12.55,27.69,-5.14%,-0.96%,+2.99%,+3.54%,+20.88%,75.39,2.08,19.05,18.17,2.17,4.11,NYQ,72.12,1142600,EIX
2100950,10.36,+0.48,3.59,-0.31,-13.75,8.44,+0.48 - +0.58%,+0.58%,83.94,82.65,82.65 - 83.94,3/15/2017,1.36,1.65,2.20B,3.33,0.54,3.71,2.89,80.14,3:29pm,30.68B,89.25,83.33,2.72,28.93,-14.11%,+0.58%,+4.48%,-0.37%,+11.20%,83.25,8.04,25.14,22.57,2.68,3.06,NYQ,84.04,1328585,EL
1317210,30.26,+0.30,3.21,9.45,-0.04,19.35,+0.30 - +0.37%,+0.37%,80.92,80.07,80.07 - 80.92,1/3/2017,2.04,2.57,2.03B,7.28,1.91,7.92,5.84,77.67,4:02pm,11.85B,85.47,80.37,1.69,13.85,-0.04%,+0.37%,+4.13%,+13.22%,+31.45%,80.58,2.66,11.11,10.21,1.31,1.78,NYQ,71.43,1358692,EMN
3653540,11.9990,+0.1401,4.9972,9.0867,-0.5599,16.8201,+0.1401 - +0.2201%,+0.2201%,63.8700,63.1300,63.1300 - 63.8700,3/10/2017,1.9200,3.0400,3.11B,2.5200,0.6700,2.7900,2.4650,58.8029,3:24pm,41.16B,58.8100,63.6100,3.4700,25.8824,-0.8700%,+0.2201%,+8.4982%,+16.6078%,+35.8027%,63.6600,5.3054,25.3175,22.8674,2.8515,2.6500,NYQ,54.7134,2551608,EMR
5706230,27.15,+1.00,-0.01,-4.10,-41.14,2.28,+1.00 - +7.91%,+7.91%,13.75,12.52,12.52 - 13.75,,,,252.21M,4.57,1.34,4.35,-0.57,13.66,4:00pm,3.04B,19.63,12.62,-1.06,,-75.09%,+7.91%,-0.07%,-23.11%,+20.05%,12.65,0.47,2.99,3.14,0.73,72.00,NMS,17.75,6036463,ENDP
3612210,21.40,-0.02,-1.36,4.95,-8.16,38.68,-0.02 - -0.02%,-0.02%,101.47,100.35,100.35 - 101.47,1/31/2017,0.67,0.66,2.40B,-1.76,0.06,0.75,-2.26,102.57,2:28pm,58.34B,112.56,100.91,-0.22,,-7.46%,-0.02%,-1.33%,+5.14%,+61.86%,101.23,4.73,,134.95,8.37,2.58,NYQ,96.26,1275271,EOG
516308,64.78,-2.15,3.84,19.20,-10.58,95.73,-2.15 - -0.56%,-0.56%,381.99,378.75,378.75 - 381.99,12/14/2016,7.00,1.81,1.39B,1.76,1.03,4.91,1.11,376.65,2:09pm,27.16B,413.67,379.79,11.65,343.09,-2.71%,-0.56%,+1.02%,+5.32%,+33.62%,382.64,5.91,217.42,77.49,8.03,4.93,NMS,361.29,225136,EQIX
2294760,27.86,-0.32,-0.89,-1.23,-13.81,3.40,-0.32 - -0.52%,-0.52%,61.74,60.88,60.88 - 61.74,1/13/2017,2.02,3.25,1.56B,1.32,0.32,1.38,11.68,62.57,2:20pm,22.57B,65.00,61.61,-21.22,5.28,-18.29%,-0.52%,-1.42%,-1.96%,+5.83%,62.00,2.23,47.08,44.70,9.35,3.55,NYQ,62.91,778667,EQR
1985430,35.00,+0.85,0.41,-4.08,-16.58,9.81,+0.85 - +1.35%,+1.35%,64.29,63.06,63.06 - 64.29,3/1/2017,0.12,0.19,699.71M,0.96,0.07,1.27,-2.71,63.62,4:01pm,11.06B,83.00,63.15,-61.53,,-20.57%,+1.35%,+0.64%,-5.99%,+18.09%,63.18,1.81,66.70,50.42,5.88,4.14,NYQ,68.11,1289467,EQT
1392350,33.53,-0.19,0.52,1.28,-4.68,5.20,-0.19 - -0.34%,-0.34%,55.78,55.20,55.20 - 55.78,3/31/2017,1.90,3.37,2.51B,2.98,0.86,3.16,2.81,55.24,4:02pm,17.67B,58.06,55.60,3.26,19.84,-7.74%,-0.34%,+0.94%,+2.35%,+10.28%,55.95,1.67,18.71,17.65,2.35,2.89,NYQ,54.48,995591,ES
4054920,25.30,-0.17,-0.40,-2.37,-10.56,5.00,-0.17 - -0.24%,-0.24%,70.94,68.53,68.53 - 70.94,,0.00,0.00,6.84B,6.39,1.72,7.63,4.45,69.86,3:58pm,42.83B,81.11,69.10,0.76,15.62,-13.20%,-0.24%,-0.57%,-3.31%,+7.76%,69.63,2.75,10.01,9.10,0.42,5.16,NMS,71.83,4557384,ESRX
396585,94.50,-0.59,-2.17,3.25,-12.07,29.11,-0.59 - -0.26%,-0.26%,226.65,221.49,221.49 - 226.65,1/17/2017,6.40,2.80,896.25M,4.11,1.01,4.36,6.27,227.60,4:01pm,14.77B,239.79,224.50,8.28,35.95,-5.08%,-0.26%,-0.95%,+1.46%,+14.83%,226.02,2.39,53.29,51.70,11.14,5.40,NYQ,222.18,356047,ESS
3088860,21.407,+0.695,1.401,6.436,-1.035,16.055,+0.695 - +1.884%,+1.884%,37.670,36.880,36.880 - 37.670,,0.000,0.000,0.00,1.940,0.490,2.350,1.980,36.174,3:24pm,10.32B,42.820,37.080,1.020,18.977,-2.681%,+1.884%,+3.874%,+20.670%,+74.605%,36.880,1.723,19.369,15.989,4.845,1.060,NMS,31.139,2449380,ETFC
2371100,33.0680,+0.0178,2.8319,5.6147,-0.2522,17.7278,+0.0178 - +0.0247%,+0.0247%,72.2800,71.6800,71.6800 - 72.2800,11/18/2016,2.2800,3.2100,3.19B,4.4300,1.1300,4.8900,4.2100,69.1959,2:09pm,32.45B,72.2900,72.0600,1.7200,17.1087,-0.3489%,+0.0247%,+4.0926%,+8.4542%,+32.6479%,72.0100,2.1776,16.2591,14.7296,1.6428,2.9600,NYQ,66.4131,886769,ETN
1361410,56.21,-0.06,-0.92,-3.26,-11.36,4.02,-0.06 - -0.08%,-0.08%,71.81,69.63,69.63 - 71.81,3/1/2017,3.48,4.86,3.51B,6.90,1.04,4.53,7.16,71.65,3:02pm,12.67B,73.50,70.96,-1.27,9.88,-13.84%,-0.08%,-1.29%,-4.40%,+6.03%,70.79,1.26,10.25,15.61,1.18,4.53,NYQ,73.99,1147010,ETR
1679980,41.91,+2.00,2.69,31.65,-13.18,12.77,+2.00 - +2.94%,+2.94%,70.49,67.80,67.80 - 70.49,,,,736.15M,1.40,0.33,1.62,3.24,67.40,2:55pm,3.77B,40.90,67.80,1.08,21.63,-15.83%,+2.94%,+3.99%,+82.32%,+22.28%,68.09,1.62,50.06,43.27,1.22,6.18,NYQ,38.44,911251,EVHC
2320470,12.26,+0.82,-4.26,-12.38,-31.44,11.71,+0.82 - +0.92%,+0.92%,90.65,89.30,89.30 - 90.65,,,,887.77M,3.40,0.86,3.85,2.61,94.57,4:01pm,19.30B,115.31,89.43,1.63,34.60,-25.82%,+0.92%,-4.51%,-12.06%,+14.90%,89.49,7.30,26.56,23.46,6.45,1.45,NYQ,102.69,1668911,EW
6099590,27.93,-0.14,-0.23,1.06,-2.48,5.40,-0.14 - -0.40%,-0.40%,35.24,34.85,34.85 - 35.24,3/10/2017,1.31,3.74,9.04B,2.66,0.61,2.87,1.22,35.45,4:00pm,32.58B,38.65,35.05,9.29,28.87,-6.58%,-0.40%,-0.65%,+3.10%,+18.11%,35.36,1.27,13.24,12.27,1.04,2.80,NYQ,34.16,4043727,EXC
1303630,10.26,+0.71,2.64,3.85,-0.45,12.31,+0.71 - +1.29%,+1.29%,55.92,54.76,54.76 - 55.92,12/15/2016,0.80,1.46,722.39M,2.35,0.55,2.48,2.36,53.28,1:55pm,10.09B,50.92,55.21,6.46,23.68,-0.80%,+1.29%,+4.96%,+7.40%,+28.23%,55.21,5.38,23.80,22.55,1.65,9.68,NMS,52.07,576955,EXPD
1971100,27.543,+1.805,2.654,3.001,-12.075,24.895,+1.805 - +1.508%,+1.508%,121.900,119.360,119.360 - 121.900,12/8/2016,1.040,0.850,1.07B,5.430,0.960,6.930,1.820,118.821,2:41pm,18.20B,141.030,119.540,0.920,66.744,-9.042%,+1.508%,+2.234%,+2.533%,+25.777%,119.670,4.345,22.412,17.529,2.043,6.220,NMS,118.474,1376836,EXPE
920706,17.48,+0.04,-1.02,-2.62,-21.27,5.45,+0.04 - +0.05%,+0.05%,73.71,71.86,71.86 - 73.71,12/30/2016,3.12,4.16,558.24M,2.54,0.51,2.48,2.32,74.56,4:01pm,9.25B,79.87,72.71,5.46,31.75,-22.43%,+0.05%,-1.37%,-3.44%,+8.00%,73.50,4.20,28.95,29.65,9.54,7.02,NYQ,76.16,731598,EXR
35553700,7.34,-0.02,0.12,0.36,-1.59,1.56,-0.02 - -0.16%,-0.16%,12.64,12.55,12.55 - 12.64,3/1/2017,0.60,4.80,13.30B,1.64,0.45,1.72,1.15,12.51,4:00pm,50.20B,13.28,12.62,2.63,10.98,-11.18%,-0.16%,+0.98%,+2.90%,+14.09%,12.65,1.72,7.70,7.34,0.33,1.55,NYQ,12.27,25098350,F
2577420,6.68,+0.07,1.45,5.95,-1.10,12.76,+0.07 - +0.14%,+0.14%,50.63,49.89,49.89 - 50.63,2/28/2017,1.28,2.55,899.36M,1.84,0.49,2.02,1.73,49.01,4:00pm,14.60B,50.40,50.14,2.33,29.18,-2.13%,+0.14%,+2.97%,+13.36%,+33.85%,50.39,7.54,27.42,24.98,3.68,6.17,NMS,44.51,1470947,FAST
20838700,20.51,-0.34,6.10,8.22,-1.98,33.11,-0.34 - -0.25%,-0.25%,133.70,132.66,132.66 - 133.70,,,,14.84B,5.42,1.30,6.69,3.49,127.41,2:59pm,385.84B,159.42,133.45,1.05,38.22,-1.46%,-0.25%,+4.78%,+6.56%,+32.98%,133.85,6.53,24.63,19.96,14.00,1.01,NMS,125.29,5849930,FB
1215720,15.06,+0.53,2.12,0.15,-7.08,9.53,+0.53 - +0.93%,+0.93%,57.48,56.60,56.60 - 57.48,3/15/2017,0.72,1.26,776.10M,3.03,0.88,3.44,2.62,55.27,4:02pm,9.00B,64.46,56.80,1.96,21.95,-10.98%,+0.93%,+3.84%,+0.25%,+19.91%,56.86,3.78,18.94,16.68,1.79,3.13,NYQ,57.24,1105364,FBHS
30875000,4.202,-0.475,0.022,2.534,-1.635,8.875,-0.475 - -2.987%,-2.987%,15.770,15.390,15.390 - 15.770,11/2/2015,0.000,0.000,3.64B,1.100,0.250,1.230,-3.154,15.403,3:38pm,22.21B,14.720,15.660,0.320,,-9.584%,-2.987%,+0.145%,+19.658%,+135.496%,15.900,3.784,14.023,12.541,1.544,1.980,NYQ,12.891,25011504,FCX
1621170,54.52,+2.21,5.77,15.55,-6.90,69.28,+2.21 - +1.15%,+1.15%,194.79,192.22,192.22 - 194.79,1/3/2017,1.60,0.83,7.86B,11.97,3.66,13.47,6.80,188.90,4:02pm,51.88B,210.09,192.77,1.52,28.61,-3.42%,+1.15%,+3.05%,+8.68%,+55.25%,192.46,3.53,16.26,14.45,0.93,2.27,NYQ,179.12,1307359,FDX
4337630,27.02,+0.04,0.00,-1.60,-6.20,1.07,+0.04 - +0.13%,+0.13%,30.46,30.11,30.11 - 30.46,3/1/2017,1.44,4.73,4.00B,2.64,0.81,2.68,-1.43,30.40,4:01pm,12.94B,34.72,30.13,-2.22,,-16.94%,+0.13%,+0.01%,-5.01%,+3.65%,30.36,1.12,11.52,11.34,0.90,1.61,NYQ,32.00,3077050,FE
689973,18.44,+1.93,2.05,10.59,-5.31,53.01,+1.93 - +1.37%,+1.37%,143.09,140.68,140.68 - 143.09,,,,610.23M,8.29,2.09,9.19,5.54,140.98,2:42pm,9.27B,143.74,141.30,1.50,25.81,-3.58%,+1.37%,+1.46%,+8.00%,+58.89%,141.10,7.65,17.25,15.56,4.52,5.73,NMS,132.44,460325,FFIV
1882980,29.789,+0.925,2.672,3.820,-0.245,24.595,+0.925 - +1.149%,+1.149%,81.460,80.380,80.380 - 81.460,3/31/2017,1.160,1.440,2.47B,4.250,0.990,4.800,1.723,78.753,3:30pm,26.63B,89.590,80.500,1.440,47.258,-0.300%,+1.149%,+3.393%,+4.922%,+43.278%,80.500,2.702,19.204,16.964,2.849,2.350,NYQ,77.605,919330,FIS
1047890,11.56,+0.94,2.79,7.16,-0.43,18.67,+0.94 - +0.85%,+0.85%,111.28,110.03,110.03 - 111.28,,,,1.86B,5.11,1.25,5.72,4.15,108.29,4:00pm,24.43B,111.95,110.14,1.74,26.77,-0.39%,+0.85%,+2.57%,+6.89%,+20.20%,110.14,9.53,21.74,19.42,4.40,3.29,NMS,103.92,1337948,FISV
6772910,19.82,+0.08,0.94,4.39,-0.25,13.07,+0.08 - +0.29%,+0.29%,27.78,27.28,27.28 - 27.78,1/17/2017,0.56,2.11,0.00,1.78,0.43,2.00,1.93,26.69,2:30pm,20.74B,27.47,27.78,15.48,14.32,-0.90%,+0.29%,+3.51%,+18.88%,+89.77%,27.55,1.39,15.52,13.81,3.62,2.74,NMS,23.24,2456712,FITB
1842740,19.89,-0.16,0.48,1.80,-8.95,19.58,-0.16 - -0.23%,-0.23%,70.99,70.09,70.09 - 70.99,1/27/2017,1.10,1.54,1.14B,4.78,1.53,5.27,4.63,70.00,3:26pm,9.33B,80.10,70.44,1.59,15.22,-11.27%,-0.23%,+0.69%,+2.62%,+38.47%,70.64,3.55,14.74,13.37,1.22,5.63,NYQ,68.68,878679,FL
699461,12.1460,+2.5192,0.9810,3.3831,-0.5508,8.6892,+2.5192 - +7.3769%,+7.3769%,37.1400,34.3600,34.3600 - 37.1400,12/2/2016,0.4800,1.3300,353.22M,1.6100,0.4000,2.0300,1.2720,35.6882,2:45pm,4.99B,37.3300,34.5600,1.2000,28.8280,-1.4799%,+7.3769%,+2.7488%,+10.1637%,+31.0550%,34.1500,2.8116,20.4856,18.0636,2.8607,1.2300,NMS,33.2861,2180863,FLIR
1345900,22.31,+0.82,3.77,5.86,-0.20,16.27,+0.82 - +1.43%,+1.43%,58.37,57.18,57.18 - 58.37,4/4/2017,0.84,1.50,853.24M,2.30,0.67,2.92,1.13,54.40,4:02pm,8.10B,56.44,57.37,2.63,51.48,-0.34%,+1.43%,+6.93%,+11.21%,+38.85%,57.35,2.57,25.29,19.92,0.43,3.45,NYQ,52.31,1220402,FLR
1247950,13.05,+0.27,1.48,3.70,-1.30,12.07,+0.27 - +0.53%,+0.53%,51.25,50.63,50.63 - 51.25,1/13/2017,0.76,1.49,519.84M,2.12,0.40,2.13,1.15,49.72,4:01pm,6.68B,48.64,50.79,-13.34,44.44,-2.48%,+0.53%,+2.97%,+7.80%,+30.85%,50.93,3.90,24.15,24.04,1.58,9.40,NYQ,47.50,2005989,FLS
946176,14.88,-0.03,-0.99,5.57,-4.81,22.35,-0.03 - -0.05%,-0.05%,58.54,57.63,57.63 - 58.54,1/19/2017,0.66,1.14,689.30M,3.39,0.84,3.76,1.56,59.02,2:43pm,7.77B,61.69,57.74,1.57,37.22,-7.65%,-0.05%,-1.68%,+10.62%,+62.64%,58.06,3.90,17.12,15.43,2.37,3.67,NYQ,52.46,980097,FMC
3326870,7.75,+0.16,0.70,3.23,-1.12,6.30,+0.16 - +0.53%,+0.53%,30.26,29.77,29.77 - 30.26,4/19/2017,0.36,1.21,6.95B,1.89,0.42,2.10,1.64,29.48,2:23pm,55.86B,34.00,29.80,1.44,18.39,-3.58%,+0.53%,+2.38%,+11.96%,+26.38%,30.02,3.87,15.97,14.37,1.98,2.65,NMS,26.95,1256610,FOX
9112150,7.748,+0.295,0.578,3.637,-1.155,7.265,+0.295 - +0.974%,+0.974%,30.690,30.070,30.070 - 30.690,4/19/2017,0.360,1.200,6.95B,1.920,0.400,2.090,1.641,30.017,2:52pm,56.63B,34.130,30.080,1.190,18.644,-3.638%,+0.974%,+1.925%,+13.493%,+31.140%,30.300,3.911,15.935,14.639,1.998,2.520,NMS,26.958,5134548,FOXA
392103,27.34,-1.25,-1.22,-7.52,-31.25,5.44,-1.25 - -0.89%,-0.89%,140.84,139.13,139.13 - 140.84,1/17/2017,3.92,2.74,503.46M,3.16,0.80,3.47,3.68,141.05,3:26pm,10.04B,151.50,140.10,5.04,38.03,-18.27%,-0.89%,-0.86%,-5.10%,+4.05%,141.08,5.16,41.62,40.30,12.81,4.47,NYQ,147.35,297128,FRT
2468220,57.22,+0.80,1.60,-1.10,-39.57,6.12,+0.80 - +2.36%,+2.36%,34.77,33.73,33.73 - 34.77,,,,720.61M,4.70,0.12,0.41,4.89,33.12,2:36pm,3.61B,34.10,34.04,-0.20,7.09,-53.26%,+2.36%,+4.83%,-3.06%,+21.40%,33.92,0.59,7.39,84.68,1.03,9.02,NMS,35.82,1565282,FSLR
5353410,43.056,+0.095,-1.965,0.624,-4.665,9.155,+0.095 - +0.294%,+0.294%,32.825,32.220,32.220 - 32.825,,1.120,3.510,1.31B,1.060,0.210,1.070,4.648,34.390,2:29pm,3.87B,35.910,32.240,-2.920,7.032,-12.578%,+0.294%,-5.713%,+1.963%,+39.342%,32.330,0.751,30.590,30.304,0.371,2.560,NYQ,31.801,4248563,FTI
20097500,4.05,-0.04,-0.17,-0.62,-2.55,0.20,-0.04 - -1.20%,-1.20%,3.35,3.27,3.27 - 3.35,12/30/2016,0.42,12.69,3.08B,-0.10,-0.04,-0.16,-0.53,3.47,4:00pm,3.87B,4.65,3.34,-4.53,,-43.59%,-1.20%,-4.97%,-15.89%,+6.45%,3.34,0.82,,,0.50,10.84,NMS,3.92,17184375,FTR
1619290,7.77,+0.29,2.65,4.90,-0.46,14.58,+0.29 - +0.51%,+0.51%,57.75,57.08,57.08 - 57.75,3/31/2017,0.28,0.49,1.42B,2.68,0.68,2.92,2.51,54.93,4:04pm,19.92B,58.29,57.24,3.75,22.94,-0.79%,+0.51%,+4.82%,+9.31%,+33.91%,57.29,7.37,21.49,19.72,3.18,0.65,NYQ,52.68,1019011,FTV
1554900,36.43,+0.78,9.17,24.64,-0.03,60.27,+0.78 - +0.42%,+0.42%,188.04,186.24,186.24 - 188.04,2/10/2017,3.04,1.65,4.76B,9.76,2.39,10.58,9.52,178.84,3:13pm,56.65B,202.17,186.76,1.93,19.74,-0.02%,+0.42%,+5.13%,+15.08%,+47.18%,187.23,5.14,19.26,17.77,1.80,1.30,NYQ,163.37,711570,GD
